fd_id,firmzone,ground_elv,sqft,st_damcat,val_struct,cbfips,x,y
481119349,AE,5.534560525836945,1536.0,RES,192682.303,481677215004028,-95.03425438,29.544327748
480979416,AE,12.278909994802476,3014.0,RES,215168.538,481677211004026,-95.0309165,29.485025
481073065,AE,14.524078583602906,5842.0,RES,505411.204,481677202001000,-95.16961399,29.504785266
481167881,AE,3.281842406229973,3492.0,RES,347416.79,481677215004019,-95.02956173,29.54950555
481119876,AE,7.337605781269073,1481.0,RES,194684.513,481677215002018,-95.05055929,29.54889539
480981303,AE,6.617993875703812,1418.0,RES,184046.11,481677215004019,-95.02934582,29.543161339
481111380,AE,11.79806397863388,1923.87,RES,273211.912,481677249002000,-94.7984795,29.2885715
481030738,AE,5.0032809217786784,1159.0,RES,166134.797,481677261002143,-95.06924126,29.128373453
481142448,AE,4.963685680141449,1104.0,RES,121077.393,481677254003058,-94.82689755,29.280208324
481022675,VE,5.013758276634216,2048.0,RES,231973.493,481677261002122,-95.08543326,29.111090963
481123617,AE,9.552268837051392,770.0,RES,77069.3246,481677247002054,-94.80307695,29.291585796
480892738,VE,4.871553870396614,2080.0,RES,237315.087,481677261002033,-95.00481577,29.171440353
481125715,AE,12.05243736823082,1287.0,RES,105248.637,481677248002028,-94.796318,29.289141
480912063,VE,7.1484236051082615,1600.0,RES,211707.369,481677239002102,-94.60809616,29.467960486
481146108,AE,13.395793910427093,2857.62,RES,465038.675,481677244001025,-94.78289831,29.295918536
481013401,AE,12.145956433105468,3310.0,RES,232524.603,481677213004001,-95.07724493,29.53259725
481016680,AE,4.529355536994934,1873.0,RES,224624.139,481677261002096,-95.0498385,29.138829
481018348,AE,13.986580775623322,2406.0,RES,278036.35,481677206002101,-95.0852789,29.443125755
480984592,AE,12.509750499944687,2574.0,RES,193176.378,481677232001062,-95.0388778,29.358731086
481134350,AE,4.631777361531258,1222.0,RES,170639.589,481677261002078,-95.04942125,29.141666057
481005524,AE,6.247457913198471,2528.0,RES,266070.26,481677215004036,-95.03348085,29.544626753
481093591,AE,7.513369089794159,1568.0,RES,194847.432,481677261001046,-94.935434,29.2081125
481064687,AE,20.443520862236024,1650.0,RES,276362.361,481677206001057,-95.15424547,29.429679696
480972242,AE,11.06800639784813,1800.0,RES,152567.28,481677210001003,-94.98216475,29.45863828
480982640,AE,12.425035244760513,1500.0,RES,55783.494,481677211001045,-95.03419963,29.467476007
481139102,A,15.012093583850861,1474.0,RES,122241.385,481677228002012,-94.95814766,29.363948864
480981214,AE,7.045295050935745,1237.11,RES,60957.5779,481677214003028,-95.029342,29.54021
481137662,AE,10.543521488847732,1776.33,RES,263176.081,481677254001028,-94.81993183,29.283727705
481152936,AE,11.94189421503067,2346.0,RES,157019.193,481677242003008,-94.76966566,29.314374349
480946027,AE,6.869062414484024,1611.0,RES,197899.197,481677261001126,-94.9420074,29.201560303
481097603,AE,14.209849456882477,900.0,RES,85570.344,481677236002020,-95.00646983,29.344859957
480909839,VE,9.686365994462967,984.0,RES,163662.22,481677239002025,-94.58212053,29.476762184
480982692,AE,10.50395714463234,1400.0,RES,127950.144,481677232001067,-95.03620949,29.359451938
480911866,VE,7.613081718873977,1428.0,RES,198679.126,481677239002116,-94.61352,29.465123
481112989,AE,4.996719326257706,1800.0,RES,213594.192,481677257001015,-94.84339556,29.262208188
481094305,VE,5.210836895160675,840.0,RES,140291.141,481677218003032,-94.94651038,29.477089598
